Page,Type,Content,X,Y,Width,Height,Style
"13","Text","旧11月17日 ",196.3,112.5,20,3,"旧暦_日付"
"13","Text","旧11月10日 ",196.3,80.5,20,3,"旧暦_日付"
"13","Text","旧11月3日 ",196.3,48.5,20,3,"旧暦_日付"
"13","Text","旧10月26日 ",196.300000000125,16.5,20,3,"旧暦_日付"
"12","Text","",52.3,176.499999999968,20,3,""
"12","Text","旧11月20日 ",52.3,144.5,20,3,"旧暦_日付"
"12","Text","旧11月13日 ",52.3,112.5,20,3,"旧暦_日付"
"12","Text","旧11月6日 ",52.3,80.5,20,3,"旧暦_日付"
"12","Text","旧10月29日 ",52.5,48.5,20,3,"旧暦_日付"
"13","Text","旧11月23日 ",161.299999999958,144.5,20,3,"旧暦_日付"
"13","Text","旧11月16日 ",161.299999999958,112.5,20,3,"旧暦_日付"
"13","Text","旧11月9日 ",161.299999999958,80.5,20,3,"旧暦_日付"
"13","Text","旧11月2日 ",161.299999999958,48.5,20,3,"旧暦_日付"
"13","Text","旧10月25日 ",161.3,16.5013888888882,20,3,"旧暦_日付"
"13","Text","",266.299999999917,144.5,20,3,""
"13","Text","旧11月19日 ",266.299999999917,112.5,20,3,"旧暦_日付"
"13","Text","旧11月12日 ",266.299999999917,80.5,20,3,"旧暦_日付"
"13","Text","旧11月5日 ",266.299999999917,48.5,20,3,"旧暦_日付"
"13","Text","旧10月28日 ",266.300000000167,16.5013888888882,20,3,"旧暦_日付"
"12","Text","旧11月22日 ",122.3,144.5,20,3,"旧暦_日付"
"12","Text","旧11月15日 ",122.3,112.5,20,3,"旧暦_日付"
"12","Text","旧11月8日 ",122.3,80.5,20,3,"旧暦_日付"
"12","Text","旧11月1日 ",122.3,48.5,20,3,"旧暦_日付"
"12","Text","旧10月24日 ",122.3,16.5,20,3,"旧暦_日付"
"13","Text","",231.299999999917,144.5,20,3,""
"13","Text","旧11月18日 ",231.299999999917,112.5,20,3,"旧暦_日付"
"13","Text","旧11月11日 ",231.165,80.5,19.9999999999999,3,"旧暦_日付"
"13","Text","旧11月4日 ",231.299999999917,48.5,20,3,"旧暦_日付"
"13","Text","旧10月27日 ",231.300000000083,16.5,20,3,"旧暦_日付"
"12","Text","",87.2999999999792,176.499999999968,20,3,""
"12","Text","旧11月21日 ",87.2999999999792,144.5,20,3,"旧暦_日付"
"12","Text","旧11月14日 ",87.2999999999792,112.5,20,3,"旧暦_日付"
"12","Text","旧11月7日 ",87.2999999999791,80.5,20,3,"旧暦_日付"
"12","Text","旧10月30日 ",87.2999999999793,48.5,20,3,"旧暦_日付"
"12","Text","旧10月23日 ",87.3,16.5,20,3,"旧暦_日付"
"12","Text"," ",52.3,16.5013888888882,20,3,"旧暦_日付"
"13","Text","",231.299999999917,147.5,20,3.5,""
"13","Text"," ",231.299999999917,115.5,20,3.5,"旧暦_カタカナ"
"13","Text"," ",231.165,83.5,19.9999999999999,3.49999999999999,"旧暦_カタカナ"
"13","Text"," ",231.299999999917,51.5,20,3.49999999999999,"旧暦_カタカナ"
"13","Text"," ",231.29999999675,19.5,19.9999999999999,3.5,"旧暦_カタカナ"
"12","Text","",122.3,147.5,20,3.49999999999997,""
"12","Text","ジュウグニチ ",122.3,115.5,20,3.5,"旧暦_カタカナ"
"12","Text"," ",122.3,83.5,20,3.49999999999999,"旧暦_カタカナ"
"12","Text","チータチ ",122.3,51.5,20,3.49999999999999,"旧暦_カタカナ"
"12","Text"," ",122.299999999958,19.5,20,3.5,"旧暦_カタカナ"
"12","Text","",52.3,179.499999999968,20,3.5,""
"12","Text","",52.3,147.5,20,3.49999999999997,""
"12","Text"," ",52.3,115.5,20,3.5,"旧暦_カタカナ"
"12","Text"," ",52.3,83.5,20,3.5,"旧暦_カタカナ"
"12","Text"," ",52.5,51.5,20,3.49999999999999,"旧暦_カタカナ"
"13","Text","",266.299999999917,147.5,20,3.5,""
"13","Text"," ",266.299999999917,115.5,20,3.5,"旧暦_カタカナ"
"13","Text"," ",266.299999999917,83.5,20,3.49999999999999,"旧暦_カタカナ"
"13","Text"," ",266.299999999917,51.5,20,3.49999999999999,"旧暦_カタカナ"
"13","Text"," ",266.300000003665,19.5013888888882,20,3.49999999999999,"旧暦_カタカナ"
"13","Text","",161.299999999958,147.5,20,3.49999999999997,""
"13","Text"," ",161.299999999958,115.5,20,3.5,"旧暦_カタカナ"
"13","Text"," ",161.299999999958,83.5,20,3.49999999999999,"旧暦_カタカナ"
"13","Text"," ",161.299999999958,51.5,20,3.49999999999999,"旧暦_カタカナ"
"13","Text"," ",161.3,19.5013888888882,20,3.49999999999999,"旧暦_カタカナ"
"13","Text","",196.3,147.5,20,3.49999999999997,""
"13","Text"," ",196.3,115.5,20,3.5,"旧暦_カタカナ"
"13","Text"," ",196.3,83.5,20,3.49999999999999,"旧暦_カタカナ"
"13","Text"," ",196.3,51.5,20,3.49999999999999,"旧暦_カタカナ"
"13","Text"," ",196.300000000125,19.5,20,3.5,"旧暦_カタカナ"
"12","Text","",87.2999999999792,179.499999999968,20,3.5,""
